Id,title,subtitle,link,categoryId
45,Underage Drinking and Teen Alcohol Use,It’s normal for parents to worry about their children using alcohol. But there are ways to help your teen cope with the pressures to drink and make better choices.,https://www.helpguide.org/articles/addictions/underage-drinking.htm,2
46,Helping Someone with a Drinking Problem,"Is someone you love drinking too much? Dealing with a loved one’s alcohol abuse or alcoholism can be painful and challenging for the whole family, but there is help available.",https://www.helpguide.org/articles/addictions/helping-someone-with-a-drinking-problem.htm,2
47,How to Stop Worrying and End Anxious Thoughts,"Are you plagued by constant worries, fears, and anxious thoughts, especially about things you can’t control? These tips can help calm your worried mind, ease anxiety, and end negative thinking.",https://www.helpguide.org/articles/anxiety/how-to-stop-worrying.htm,3
48,Are You Feeling Suicidal?,"If you’re thinking about suicide, your pain may seem overwhelming and permanent. But there are ways to cope with suicidal thoughts and feelings and overcome the pain.",https://www.helpguide.org/articles/suicide-prevention/are-you-feeling-suicidal.htm,3
49,Stress Management: How to Reduce and Relieve Stress,"While it may seem like there’s nothing you can do about stress at work and home, there are steps you can take to destress and regain control.",https://www.helpguide.org/articles/stress/stress-management.htm,3
50,"Insomnia: Symptoms, Causes, and Treatment","Can’t sleep? If you struggle to fall asleep or stay asleep at night, it can take a huge toll on your health. Here’s how to beat insomnia and end the sleepless nights.",https://www.helpguide.org/articles/sleep/insomnia-causes-and-cures.htm,3
51,"ADHD in Children: Signs, Symptoms, and Help",Do you think your child might have ADHD? Here’s how to recognize the signs and symptoms of attention deficit hyperactivity disorder in girls and boys—and get the help you need.,https://www.helpguide.org/articles/add-adhd/attention-deficit-disorder-adhd-in-children.htm,3
52,Caregiver Stress and Burnout,"The demands of caregiving can be exhausting and overwhelming. But there are steps you can take to rein in stress and regain a sense of balance, joy, and hope in your life.",https://www.helpguide.org/articles/stress/caregiver-stress-and-burnout.htm,3
53,Setting Healthy Boundaries in Relationships,"Whether you’re dealing with romantic partners, family, friends, or coworkers, maintaining healthy boundaries can help you strengthen relationships, avoid unhealthy connections, and improve your self-esteem and overall well-being.",https://www.helpguide.org/articles/relationships-communication/setting-healthy-boundaries-in-relationships.htm,3
54,Improving Emotional Intelligence (EQ),"When it comes to happiness and success in life, EQ matters just as much as IQ. Learn how you can boost your emotional intelligence, build stronger relationships, and achieve your goals.",https://www.helpguide.org/articles/mental-health/emotional-intelligence-eq.htm,3
55,"Depression in Older Adults: Signs, Symptoms, Treatment","Depression can happen to any of us as we age, but there are ways to boost how you feel and make your senior years healthy and happy.",https://www.helpguide.org/articles/depression/depression-in-older-adults.htm,3
56,Aging Well,Staying healthy and feeling your best is important at any age. These tips can help you cope with the changes that accompany growing older—and live life to the fullest.,https://www.helpguide.org/articles/alzheimers-dementia-aging/staying-healthy-as-you-age.htm,3
57,Body Scan Meditation,Cultivate your ability to be mindful and tuned in to what you’re feeling with this body scan meditation.,https://www.helpguide.org/meditations/body-scan-meditation.htm,3
58,Coping with Uncertainty Meditation,"When you're feeling anxious or afraid about the future, this mindfulness meditation can help you find peace in the present moment.",https://www.helpguide.org/meditations/coping-with-uncertainty-meditation.htm,3
59,Mindful Breathing Meditation,"Harness the power of your breath to relieve stress, ground yourself in the present moment, and reestablish inner calm.",https://www.helpguide.org/meditations/mindful-breathing-meditation.htm,3
60,Sleep Meditation Using Guided Imagery,Harness the power of your imagination to relax your body and mind and get to sleep fast.,https://www.helpguide.org/meditations/sleep-meditation-using-guided-imagery.htm,3
61,Phobias and Irrational Fears,"Is a phobia keeping you from doing things you'd like to do? Learn how to recognize, treat, and overcome the problem.",https://www.helpguide.org/articles/anxiety/phobias-and-irrational-fears.htm,3
62,Dealing with Uncertainty,"Life is filled with uncertainty and worries about the future. While many things remain outside your control, your mindset is key to coping with difficult circumstances and confidently facing the unknown.",https://www.helpguide.org/articles/anxiety/dealing-with-uncertainty.htm,3
63,Hoarding Disorder: Help for Hoarders,"Hoarding disorder goes beyond being a “pack rat” or having too much clutter. But there are ways to change your habits and regain control over your possessions, your home, and your life.",https://www.helpguide.org/articles/anxiety/hoarding-disorder-help-for-hoarders.htm,3
64,Helping Someone with Hoarding Disorder,"Dealing with a loved one’s hoarding can be frustrating and stressful. But your support can help the hoarder change their beliefs and behavior, reclaim their space, and rebuild their relationships.",https://www.helpguide.org/articles/anxiety/helping-someone-with-hoarding-disorder.htm,3
65,Body Dysmorphic Disorder (BDD),"Do you constantly focus on your physical appearance and perceived “flaws”? By understanding the symptoms and causes of body dysmorphia, you can learn to ease your anxieties and view yourself more realistically.",https://www.helpguide.org/articles/anxiety/body-dysmorphic-disorder-bdd.htm,3
66,Overcoming a Fear of Needles,Is needle phobia affecting you or your child’s health? Learn more about the symptoms and causes of trypanophobia and the proven techniques you can use to overcome the problem.,https://www.helpguide.org/articles/anxiety/overcoming-a-fear-of-needles.htm,3
67,Therapy for Anxiety Disorders,"Want to control your anxiety, stop worrisome thoughts, and conquer your fears? Here’s how therapy can help.",https://www.helpguide.org/articles/anxiety/therapy-for-anxiety-disorders.htm,3
68,Social Anxiety Disorder,"Feel intensely uncomfortable in social situations? Use this guide to learn about the symptoms, treatment, and self-help for social phobia.",https://www.helpguide.org/articles/anxiety/social-anxiety-disorder.htm,3
69,Anxiety in Children and Teens: A Parent’s Guide,"Anxiety is often a normal part of childhood and adolescence, but there’s a difference between everyday worry and chronic anxiety. By understanding the distinctions, you can help your child manage their symptoms effectively.",https://www.helpguide.org/articles/anxiety/anxiety-in-children-and-teens.htm,3
70,How to Stop Worrying and End Anxious Thoughts,"Are you plagued by constant worries, fears, and anxious thoughts, especially about things you can’t control? These tips can help calm your worried mind, ease anxiety, and end negative thinking.",https://www.helpguide.org/articles/anxiety/how-to-stop-worrying.htm,4
71,Are You Feeling Suicidal?,"If you’re thinking about suicide, your pain may seem overwhelming and permanent. But there are ways to cope with suicidal thoughts and feelings and overcome the pain.",https://www.helpguide.org/articles/suicide-prevention/are-you-feeling-suicidal.htm,4
72,Stress Management: How to Reduce and Relieve Stress,"While it may seem like there’s nothing you can do about stress at work and home, there are steps you can take to destress and regain control.",https://www.helpguide.org/articles/stress/stress-management.htm,4
73,"Insomnia: Symptoms, Causes, and Treatment","Can’t sleep? If you struggle to fall asleep or stay asleep at night, it can take a huge toll on your health. Here’s how to beat insomnia and end the sleepless nights.",https://www.helpguide.org/articles/sleep/insomnia-causes-and-cures.htm,4
74,"ADHD in Children: Signs, Symptoms, and Help",Do you think your child might have ADHD? Here’s how to recognize the signs and symptoms of attention deficit hyperactivity disorder in girls and boys—and get the help you need.,https://www.helpguide.org/articles/add-adhd/attention-deficit-disorder-adhd-in-children.htm,4
75,Caregiver Stress and Burnout,"The demands of caregiving can be exhausting and overwhelming. But there are steps you can take to rein in stress and regain a sense of balance, joy, and hope in your life.",https://www.helpguide.org/articles/stress/caregiver-stress-and-burnout.htm,4
76,Setting Healthy Boundaries in Relationships,"Whether you’re dealing with romantic partners, family, friends, or coworkers, maintaining healthy boundaries can help you strengthen relationships, avoid unhealthy connections, and improve your self-esteem and overall well-being.",https://www.helpguide.org/articles/relationships-communication/setting-healthy-boundaries-in-relationships.htm,4
77,Improving Emotional Intelligence (EQ),"When it comes to happiness and success in life, EQ matters just as much as IQ. Learn how you can boost your emotional intelligence, build stronger relationships, and achieve your goals.",https://www.helpguide.org/articles/mental-health/emotional-intelligence-eq.htm,4
78,"Depression in Older Adults: Signs, Symptoms, Treatment","Depression can happen to any of us as we age, but there are ways to boost how you feel and make your senior years healthy and happy.",https://www.helpguide.org/articles/depression/depression-in-older-adults.htm,4
79,Aging Well,Staying healthy and feeling your best is important at any age. These tips can help you cope with the changes that accompany growing older—and live life to the fullest.,https://www.helpguide.org/articles/alzheimers-dementia-aging/staying-healthy-as-you-age.htm,4
80,Body Scan Meditation,Cultivate your ability to be mindful and tuned in to what you’re feeling with this body scan meditation.,https://www.helpguide.org/meditations/body-scan-meditation.htm,4
81,Coping with Uncertainty Meditation,"When you're feeling anxious or afraid about the future, this mindfulness meditation can help you find peace in the present moment.",https://www.helpguide.org/meditations/coping-with-uncertainty-meditation.htm,4
82,Mindful Breathing Meditation,"Harness the power of your breath to relieve stress, ground yourself in the present moment, and reestablish inner calm.",https://www.helpguide.org/meditations/mindful-breathing-meditation.htm,4
83,Sleep Meditation Using Guided Imagery,Harness the power of your imagination to relax your body and mind and get to sleep fast.,https://www.helpguide.org/meditations/sleep-meditation-using-guided-imagery.htm,4
84,"Bipolar Disorder Symptoms, Causes, Types, and Diagnosis","Do you have bipolar disorder? Is it bipolar I or bipolar II? Here’s how to recognize the signs and symptoms of manic depression, including mania, hypomania, bipolar depression, and cyclothymia.",https://www.helpguide.org/articles/bipolar-disorder/bipolar-disorder-signs-and-symptoms.htm,4
85,Bipolar Disorder Treatment,"Learn how treatment for bipolar disorder, including medication, therapy, and lifestyle changes, can help you manage your symptoms, control mood swings, and improve your quality of life.",https://www.helpguide.org/articles/bipolar-disorder/bipolar-disorder-treatment.htm,4
86,Bipolar Disorder Medication Guide,"Want to know the best medications to treat bipolar disorder? This guide details the different bipolar disorder drugs, including how to manage your meds and minimize side effects.",https://www.helpguide.org/articles/bipolar-disorder/bipolar-medication-guide.htm,4
87,Helping Someone with Bipolar Disorder,Dealing with a loved one’s bipolar disorder isn't easy. This guide will help you navigate the challenges and support your friend or family member.,https://www.helpguide.org/articles/bipolar-disorder/helping-someone-with-bipolar-disorder.htm,4
88,Bipolar Help: Living with Bipolar Disorder,"Along with treatment, there are many things you can do to cope with bipolar disorder. These 7 tips can help you manage symptoms, prevent relapse, and take control of your life.",https://www.helpguide.org/articles/bipolar-disorder/living-with-bipolar-disorder.htm,4
89,Bipolar Disorder Test,"Do you think you may have bipolar disorder? While only a mental health professional can accurately diagnose bipolar disorder, this quiz can help you to identify symptoms.",https://www.helpguide.org/articles/bipolar-disorder/bipolar-disorder-test.htm,4
90,Dual Diagnosis: Substance Abuse and Mental Health,"Dealing with co-occurring disorders? Learn how to tackle addiction when you're also dealing with depression, anxiety, or another mental health problem.",https://www.helpguide.org/articles/addictions/substance-abuse-and-mental-health.htm,4
91,Coping with Depression,"When you’re depressed, you can’t just will yourself to “snap out of it.” But these coping strategies can help you deal with depression and put you on the road to recovery.",https://www.helpguide.org/articles/depression/coping-with-depression.htm,4
92,Electroconvulsive Therapy (ECT): How it Works and What to Expect,"Conditions such as treatment-resistant depression, bipolar disorder, schizophrenia, and dementia may benefit from electroconvulsive therapy (ECT). By learning about its effectiveness, risks, and how it works, you can decide if it’s right for you.",https://www.helpguide.org/electroconvulsive-therapy-ect.htm,4
93,How to Stop Worrying and End Anxious Thoughts,"Are you plagued by constant worries, fears, and anxious thoughts, especially about things you can’t control? These tips can help calm your worried mind, ease anxiety, and end negative thinking.",https://www.helpguide.org/articles/anxiety/how-to-stop-worrying.htm,5
94,Are You Feeling Suicidal?,"If you’re thinking about suicide, your pain may seem overwhelming and permanent. But there are ways to cope with suicidal thoughts and feelings and overcome the pain.",https://www.helpguide.org/articles/suicide-prevention/are-you-feeling-suicidal.htm,5
95,Stress Management: How to Reduce and Relieve Stress,"While it may seem like there’s nothing you can do about stress at work and home, there are steps you can take to destress and regain control.",https://www.helpguide.org/articles/stress/stress-management.htm,5
96,"Insomnia: Symptoms, Causes, and Treatment","Can’t sleep? If you struggle to fall asleep or stay asleep at night, it can take a huge toll on your health. Here’s how to beat insomnia and end the sleepless nights.",https://www.helpguide.org/articles/sleep/insomnia-causes-and-cures.htm,5
97,"ADHD in Children: Signs, Symptoms, and Help",Do you think your child might have ADHD? Here’s how to recognize the signs and symptoms of attention deficit hyperactivity disorder in girls and boys—and get the help you need.,https://www.helpguide.org/articles/add-adhd/attention-deficit-disorder-adhd-in-children.htm,5
98,Caregiver Stress and Burnout,"The demands of caregiving can be exhausting and overwhelming. But there are steps you can take to rein in stress and regain a sense of balance, joy, and hope in your life.",https://www.helpguide.org/articles/stress/caregiver-stress-and-burnout.htm,5
99,Setting Healthy Boundaries in Relationships,"Whether you’re dealing with romantic partners, family, friends, or coworkers, maintaining healthy boundaries can help you strengthen relationships, avoid unhealthy connections, and improve your self-esteem and overall well-being.",https://www.helpguide.org/articles/relationships-communication/setting-healthy-boundaries-in-relationships.htm,5
100,Improving Emotional Intelligence (EQ),"When it comes to happiness and success in life, EQ matters just as much as IQ. Learn how you can boost your emotional intelligence, build stronger relationships, and achieve your goals.",https://www.helpguide.org/articles/mental-health/emotional-intelligence-eq.htm,5
101,"Depression in Older Adults: Signs, Symptoms, Treatment","Depression can happen to any of us as we age, but there are ways to boost how you feel and make your senior years healthy and happy.",https://www.helpguide.org/articles/depression/depression-in-older-adults.htm,5
102,Aging Well,Staying healthy and feeling your best is important at any age. These tips can help you cope with the changes that accompany growing older—and live life to the fullest.,https://www.helpguide.org/articles/alzheimers-dementia-aging/staying-healthy-as-you-age.htm,5
103,Body Scan Meditation,Cultivate your ability to be mindful and tuned in to what you’re feeling with this body scan meditation.,https://www.helpguide.org/meditations/body-scan-meditation.htm,5
104,Coping with Uncertainty Meditation,"When you're feeling anxious or afraid about the future, this mindfulness meditation can help you find peace in the present moment.",https://www.helpguide.org/meditations/coping-with-uncertainty-meditation.htm,5
105,Mindful Breathing Meditation,"Harness the power of your breath to relieve stress, ground yourself in the present moment, and reestablish inner calm.",https://www.helpguide.org/meditations/mindful-breathing-meditation.htm,5
106,Sleep Meditation Using Guided Imagery,Harness the power of your imagination to relax your body and mind and get to sleep fast.,https://www.helpguide.org/meditations/sleep-meditation-using-guided-imagery.htm,5
107,Premenstrual Dysphoric Disorder (PMDD): How to Cope with Severe PMS,"If your premenstrual syndrome (PMS) symptoms are disabling, you may have premenstrual dysphoric disorder (PMDD). Here’s all you need to know about the causes, treatment, and coping strategies.",https://www.helpguide.org/articles/depression/premenstrual-dysphoric-disorder-pmdd.htm,5
108,Transcranial Magnetic Stimulation (TMS) Therapy: Complete Guide,"If your major depression, OCD, or smoking addiction has proven resistant to other treatment, TMS may be an option. Here’s how it’s used in the treatment of these and other mental health issues.",https://www.helpguide.org/transcranial-magnetic-stimulation-tms.htm,5
109,I Feel Depressed: 9 Ways to Deal with Depression,"Feeling persistently sad, numb, worthless, fatigued, or trapped in negativity? Depression affects people in many different ways, but this toolkit offers simple tips to improve how you feel right now.",https://www.helpguide.org/articles/depression/i-feel-depressed.htm,5
110,"Depression Types and Causes: Clinical, Major, and Others","Understanding the different types and causes of depression can help you find the most effective treatment—whether you’re dealing with clinical depression, atypical, treatment-resistant, or high-functioning depression.",https://www.helpguide.org/depression-types-causes-and-risk-factors.htm,5
111,Electroconvulsive Therapy (ECT): How it Works and What to Expect,"Conditions such as treatment-resistant depression, bipolar disorder, schizophrenia, and dementia may benefit from electroconvulsive therapy (ECT). By learning about its effectiveness, risks, and how it works, you can decide if it’s right for you.",https://www.helpguide.org/electroconvulsive-therapy-ect.htm,5
112,Antidepressants: Understanding Depression Medication,What are the different types of antidepressants? How well do they work? Which one is right for you? What are the side effects? Here’s all you need to know about depression medication.,https://www.helpguide.org/articles/depression/antidepressant-medication.htm,5
113,Dealing with Teen Depression,"No matter how despondent life seems right now, there are many things you can do to start feeling better today. Use these tools to help yourself or a friend.",https://www.helpguide.org/articles/depression/teenagers-guide-to-depression.htm,5
114,Seasonal Affective Disorder (SAD),Do you get depressed during the dark days of late fall and winter? You might have seasonal depression.,https://www.helpguide.org/articles/depression/seasonal-affective-disorder-sad.htm,5
115,Postpartum Depression and the Baby Blues,Depression is common in new mothers. Learn about the signs and symptoms—and what you can do to feel better.,https://www.helpguide.org/articles/depression/postpartum-depression-and-the-baby-blues.htm,5
116,How to Stop Worrying and End Anxious Thoughts,"Are you plagued by constant worries, fears, and anxious thoughts, especially about things you can’t control? These tips can help calm your worried mind, ease anxiety, and end negative thinking.",https://www.helpguide.org/articles/anxiety/how-to-stop-worrying.htm,6
117,Are You Feeling Suicidal?,"If you’re thinking about suicide, your pain may seem overwhelming and permanent. But there are ways to cope with suicidal thoughts and feelings and overcome the pain.",https://www.helpguide.org/articles/suicide-prevention/are-you-feeling-suicidal.htm,6
118,Stress Management: How to Reduce and Relieve Stress,"While it may seem like there’s nothing you can do about stress at work and home, there are steps you can take to destress and regain control.",https://www.helpguide.org/articles/stress/stress-management.htm,6
119,"Insomnia: Symptoms, Causes, and Treatment","Can’t sleep? If you struggle to fall asleep or stay asleep at night, it can take a huge toll on your health. Here’s how to beat insomnia and end the sleepless nights.",https://www.helpguide.org/articles/sleep/insomnia-causes-and-cures.htm,6
120,"ADHD in Children: Signs, Symptoms, and Help",Do you think your child might have ADHD? Here’s how to recognize the signs and symptoms of attention deficit hyperactivity disorder in girls and boys—and get the help you need.,https://www.helpguide.org/articles/add-adhd/attention-deficit-disorder-adhd-in-children.htm,6
121,Caregiver Stress and Burnout,"The demands of caregiving can be exhausting and overwhelming. But there are steps you can take to rein in stress and regain a sense of balance, joy, and hope in your life.",https://www.helpguide.org/articles/stress/caregiver-stress-and-burnout.htm,6
122,Setting Healthy Boundaries in Relationships,"Whether you’re dealing with romantic partners, family, friends, or coworkers, maintaining healthy boundaries can help you strengthen relationships, avoid unhealthy connections, and improve your self-esteem and overall well-being.",https://www.helpguide.org/articles/relationships-communication/setting-healthy-boundaries-in-relationships.htm,6
123,Improving Emotional Intelligence (EQ),"When it comes to happiness and success in life, EQ matters just as much as IQ. Learn how you can boost your emotional intelligence, build stronger relationships, and achieve your goals.",https://www.helpguide.org/articles/mental-health/emotional-intelligence-eq.htm,6
124,"Depression in Older Adults: Signs, Symptoms, Treatment","Depression can happen to any of us as we age, but there are ways to boost how you feel and make your senior years healthy and happy.",https://www.helpguide.org/articles/depression/depression-in-older-adults.htm,6
125,Aging Well,Staying healthy and feeling your best is important at any age. These tips can help you cope with the changes that accompany growing older—and live life to the fullest.,https://www.helpguide.org/articles/alzheimers-dementia-aging/staying-healthy-as-you-age.htm,6
126,Body Scan Meditation,Cultivate your ability to be mindful and tuned in to what you’re feeling with this body scan meditation.,https://www.helpguide.org/meditations/body-scan-meditation.htm,6
